bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 145.528 79-13 79-16
@VIS: 145.946 root 80-0
@VIS: 145.946 80-0 80-1
@VIS: 145.946 80-0 80-2
@VIS: 145.946 opt
@VIS: 152.806 root 81-0
@VIS: 152.806 81-0 81-1
@VIS: 152.806 81-0 81-2
@VIS: 153.366 root 82-0
@VIS: 153.366 82-0 82-1
@VIS: 153.366 82-0 82-2
@VIS: 154.144 82-1 82-3
@VIS: 154.144 82-1 82-4
@VIS: 154.637 root 83-0
@VIS: 154.637 83-0 83-1
@VIS: 154.637 83-0 83-2
@VIS: 155.416 83-1 83-3
@VIS: 155.416 83-1 83-4
@VIS: 156.096 root 84-0
@VIS: 156.096 84-0 84-1
@VIS: 156.096 84-0 84-2
@VIS: 156.666 84-2 84-3
@VIS: 156.666 84-2 84-4
@VIS: 157.357 84-3 84-5
@VIS: 157.357 84-3 84-6
@VIS: 157.884 84-5 84-7
@VIS: 157.884 84-5 84-8
@VIS: 158.322 84-7 84-9
@VIS: 158.322 84-7 84-10
@VIS: 158.993 root 85-0
@VIS: 158.993 85-0 85-1
@VIS: 158.993 85-0 85-2
@VIS: 159.761 root 86-0
@VIS: 159.761 86-0 86-1
@VIS: 159.761 86-0 86-2
@VIS: 160.307 86-1 86-3
@VIS: 160.307 86-1 86-4
@VIS: 160.851 86-3 86-5
@VIS: 160.851 86-3 86-6
@VIS: 161.567 86-5 86-7
@VIS: 161.567 86-5 86-8
@VIS: 162.231 86-7 86-9
@VIS: 162.231 86-7 86-10
@VIS: 162.86 root 87-0
@VIS: 162.86 87-0 87-1
@VIS: 162.86 87-0 87-2
@VIS: 163.625 87-1 87-3
@VIS: 163.625 87-1 87-4
@VIS: 164.362 87-2 87-5
@VIS: 164.362 87-2 87-6
@VIS: 164.792 87-3 87-7
@VIS: 164.792 87-3 87-8
@VIS: 165.286 root 88-0
@VIS: 165.286 88-0 88-1
@VIS: 165.286 88-0 88-2
@VIS: 165.833 88-1 88-3
@VIS: 165.833 88-1 88-4
@VIS: 166.548 88-2 88-5
@VIS: 166.548 88-2 88-6
@VIS: 166.969 root 89-0
@VIS: 166.969 89-0 89-1
@VIS: 166.969 89-0 89-2
@VIS: 167.508 89-1 89-3
@VIS: 167.508 89-1 89-4
@VIS: 168.034 89-3 89-5
@VIS: 168.034 89-3 89-6
@VIS: 168.476 89-5 89-7
@VIS: 168.476 89-5 89-8
@VIS: 168.932 89-7 89-9
@VIS: 168.932 89-7 89-10
@VIS: 169.592 89-9 89-11
@VIS: 169.592 89-9 89-12
@VIS: 170.227 root 90-0
@VIS: 170.227 90-0 90-1
@VIS: 170.227 90-0 90-2
@VIS: 170.771 90-1 90-3
@VIS: 170.771 90-1 90-4
@VIS: 171.252 root 91-0
@VIS: 171.252 91-0 91-1
@VIS: 171.252 91-0 91-2
@VIS: 172.005 91-1 91-3
@VIS: 172.005 91-1 91-4
@VIS: 172.522 91-3 91-5
@VIS: 172.522 91-3 91-6
@VIS: 173.01 91-5 91-7
@VIS: 173.01 91-5 91-8
@VIS: 173.454 root 92-0
@VIS: 173.454 92-0 92-1
@VIS: 173.454 92-0 92-2
@VIS: 174.222 92-1 92-3
@VIS: 174.222 92-1 92-4
@VIS: 174.936 92-3 92-5
@VIS: 174.936 92-3 92-6
@VIS: 175.417 root 93-0
@VIS: 175.417 93-0 93-1
@VIS: 175.417 93-0 93-2
@VIS: 175.985 93-1 93-3
@VIS: 175.985 93-1 93-4
@VIS: 176.483 93-3 93-5
